Feature,Aggregation,Justification
AreaShape_Area,Sum,
AreaShape_CentralMoment_0_0,Mean,
AreaShape_CentralMoment_0_1,Sum,
AreaShape_CentralMoment_0_2,Mean,
AreaShape_CentralMoment_0_3,Sum,
AreaShape_CentralMoment_1_0,Mean,
AreaShape_CentralMoment_1_1,Sum,
AreaShape_CentralMoment_1_2,Mean,
AreaShape_CentralMoment_1_3,Sum,
AreaShape_CentralMoment_2_0,Mean,
AreaShape_CentralMoment_2_1,Sum,
AreaShape_CentralMoment_2_2,Mean,
AreaShape_CentralMoment_2_3,Sum,
AreaShape_Compactness,Mean,
AreaShape_ConvexArea,Sum,
AreaShape_Eccentricity,Mean,
AreaShape_EquivalentDiameter,Sum,
AreaShape_EulerNumber,Mean,
AreaShape_Extent,Sum,
AreaShape_FormFactor,Mean,
AreaShape_HuMoment_0,Sum,
AreaShape_HuMoment_1,Mean,
AreaShape_HuMoment_2,Sum,
AreaShape_HuMoment_3,Mean,
AreaShape_HuMoment_4,Sum,
AreaShape_HuMoment_5,Mean,
AreaShape_HuMoment_6,Sum,
AreaShape_InertiaTensorEigenvalues_0,Mean,
AreaShape_InertiaTensorEigenvalues_1,Sum,
AreaShape_InertiaTensor_0_0,Mean,
AreaShape_InertiaTensor_0_1,Sum,
AreaShape_InertiaTensor_1_0,Mean,
AreaShape_InertiaTensor_1_1,Sum,
AreaShape_MajorAxisLength,Mean,
AreaShape_MaxFeretDiameter,Sum,
AreaShape_MaximumRadius,Mean,
AreaShape_MeanRadius,Sum,
AreaShape_MedianRadius,Mean,
AreaShape_MinFeretDiameter,Sum,
AreaShape_MinorAxisLength,Mean,
AreaShape_NormalizedMoment_0_2,Sum,
AreaShape_NormalizedMoment_0_3,Mean,
AreaShape_NormalizedMoment_1_1,Sum,
AreaShape_NormalizedMoment_1_2,Mean,
AreaShape_NormalizedMoment_1_3,Sum,
AreaShape_NormalizedMoment_2_0,Mean,
AreaShape_NormalizedMoment_2_1,Sum,
AreaShape_NormalizedMoment_2_2,Mean,
AreaShape_NormalizedMoment_2_3,Sum,
AreaShape_NormalizedMoment_3_0,Mean,
AreaShape_NormalizedMoment_3_1,Sum,
AreaShape_NormalizedMoment_3_2,Mean,
AreaShape_NormalizedMoment_3_3,Sum,
AreaShape_Orientation,Mean,
AreaShape_Perimeter,Sum,
AreaShape_Solidity,Mean,
AreaShape_SpatialMoment_0_0,Sum,
AreaShape_SpatialMoment_0_1,Mean,
AreaShape_SpatialMoment_0_2,Sum,
AreaShape_SpatialMoment_0_3,Mean,
AreaShape_SpatialMoment_1_0,Sum,
AreaShape_SpatialMoment_1_1,Mean,
AreaShape_SpatialMoment_1_2,Sum,
AreaShape_SpatialMoment_1_3,Mean,
AreaShape_SpatialMoment_2_0,Sum,
AreaShape_SpatialMoment_2_1,Mean,
AreaShape_SpatialMoment_2_2,Sum,
AreaShape_SpatialMoment_2_3,Mean,
AreaShape_Zernike_0_0,Sum,
AreaShape_Zernike_1_1,Mean,
AreaShape_Zernike_2_0,Sum,
AreaShape_Zernike_2_2,Mean,
AreaShape_Zernike_3_1,Sum,
AreaShape_Zernike_3_3,Mean,
AreaShape_Zernike_4_0,Sum,
AreaShape_Zernike_4_2,Mean,
AreaShape_Zernike_4_4,Sum,
AreaShape_Zernike_5_1,Mean,
AreaShape_Zernike_5_3,Sum,
AreaShape_Zernike_5_5,Mean,
AreaShape_Zernike_6_0,Sum,
AreaShape_Zernike_6_2,Mean,
AreaShape_Zernike_6_4,Sum,
AreaShape_Zernike_6_6,Mean,
AreaShape_Zernike_7_1,Sum,
AreaShape_Zernike_7_3,Mean,
AreaShape_Zernike_7_5,Sum,
AreaShape_Zernike_7_7,Mean,
AreaShape_Zernike_8_0,Sum,
AreaShape_Zernike_8_2,Mean,
AreaShape_Zernike_8_4,Sum,
AreaShape_Zernike_8_6,Mean,
AreaShape_Zernike_8_8,Sum,
AreaShape_Zernike_9_1,Mean,
AreaShape_Zernike_9_3,Sum,
AreaShape_Zernike_9_5,Mean,
AreaShape_Zernike_9_7,Sum,
AreaShape_Zernike_9_9,Mean,
Granularity_1_OP,Sum,
Granularity_2_OP,Mean,
Granularity_3_OP,Sum,
Granularity_4_OP,Mean,
Granularity_5_OP,Sum,
Granularity_6_OP,Mean,
Intensity_IntegratedIntensityEdge_OP,Sum,
Intensity_IntegratedIntensity_OP,Mean,
Intensity_LowerQuartileIntensity_OP,Sum,
Intensity_MADIntensity_OP,Mean,
Intensity_MassDisplacement_OP,Sum,
Intensity_MaxIntensityEdge_OP,Mean,
Intensity_MaxIntensity_OP,Sum,
Intensity_MeanIntensityEdge_OP,Mean,
Intensity_MeanIntensity_OP,Sum,
Intensity_MedianIntensity_OP,Mean,
Intensity_MinIntensityEdge_OP,Sum,
Intensity_MinIntensity_OP,Mean,
Intensity_StdIntensityEdge_OP,Sum,
Intensity_StdIntensity_OP,Mean,
Intensity_UpperQuartileIntensity_OP,Sum,
Neighbors_FirstClosestDistance_Adjacent,Mean,
Neighbors_FirstClosestObjectNumber_Adjacnt,Sum,
Neighbors_SecondClosestObjectNumber_Adjcnt,Mean,
RadialDistribution_FracAtD_OP_1of4,Sum,
RadialDistribution_FracAtD_OP_2of4,Mean,
RadialDistribution_FracAtD_OP_3of4,Sum,
RadialDistribution_FracAtD_OP_4of4,Mean,
RadialDistribution_MeanFrac_OP_1of4,Sum,
RadialDistribution_MeanFrac_OP_2of4,Mean,
RadialDistribution_MeanFrac_OP_3of4,Sum,
RadialDistribution_MeanFrac_OP_4of4,Mean,
RadialDistribution_RadialCV_OP_1of4,Sum,
RadialDistribution_RadialCV_OP_2of4,Mean,
RadialDistribution_RadialCV_OP_3of4,Sum,
RadialDistribution_RadialCV_OP_4of4,Mean,
RadialDistribution_ZernikeMagnitude_OP_0_0,Sum,
RadialDistribution_ZernikeMagnitude_OP_1_1,Mean,
RadialDistribution_ZernikeMagnitude_OP_2_0,Sum,
RadialDistribution_ZernikeMagnitude_OP_2_2,Mean,
RadialDistribution_ZernikeMagnitude_OP_3_1,Sum,
RadialDistribution_ZernikeMagnitude_OP_3_3,Mean,
RadialDistribution_ZernikeMagnitude_OP_4_0,Sum,
RadialDistribution_ZernikeMagnitude_OP_4_2,Mean,
RadialDistribution_ZernikeMagnitude_OP_4_4,Sum,
RadialDistribution_ZernikeMagnitude_OP_5_1,Mean,
RadialDistribution_ZernikeMagnitude_OP_5_3,Sum,
RadialDistribution_ZernikeMagnitude_OP_5_5,Mean,
RadialDistribution_ZernikeMagnitude_OP_6_0,Sum,
RadialDistribution_ZernikeMagnitude_OP_6_2,Mean,
RadialDistribution_ZernikeMagnitude_OP_6_4,Sum,
RadialDistribution_ZernikeMagnitude_OP_6_6,Mean,
RadialDistribution_ZernikeMagnitude_OP_7_1,Sum,
RadialDistribution_ZernikeMagnitude_OP_7_3,Mean,
RadialDistribution_ZernikeMagnitude_OP_7_5,Sum,
RadialDistribution_ZernikeMagnitude_OP_7_7,Mean,
RadialDistribution_ZernikeMagnitude_OP_8_0,Sum,
RadialDistribution_ZernikeMagnitude_OP_8_2,Mean,
RadialDistribution_ZernikeMagnitude_OP_8_4,Sum,
RadialDistribution_ZernikeMagnitude_OP_8_6,Mean,
RadialDistribution_ZernikeMagnitude_OP_8_8,Sum,
RadialDistribution_ZernikeMagnitude_OP_9_1,Mean,
RadialDistribution_ZernikeMagnitude_OP_9_3,Sum,
RadialDistribution_ZernikeMagnitude_OP_9_5,Mean,
RadialDistribution_ZernikeMagnitude_OP_9_7,Sum,
RadialDistribution_ZernikeMagnitude_OP_9_9,Mean,
RadialDistribution_ZernikePhase_OP_1_1,Sum,
RadialDistribution_ZernikePhase_OP_2_2,Mean,
RadialDistribution_ZernikePhase_OP_3_1,Sum,
RadialDistribution_ZernikePhase_OP_3_3,Mean,
RadialDistribution_ZernikePhase_OP_4_0,Sum,
RadialDistribution_ZernikePhase_OP_4_2,Mean,
RadialDistribution_ZernikePhase_OP_4_4,Sum,
RadialDistribution_ZernikePhase_OP_5_1,Mean,
RadialDistribution_ZernikePhase_OP_5_3,Sum,
RadialDistribution_ZernikePhase_OP_5_5,Mean,
RadialDistribution_ZernikePhase_OP_6_0,Sum,
RadialDistribution_ZernikePhase_OP_6_2,Mean,
RadialDistribution_ZernikePhase_OP_6_4,Sum,
RadialDistribution_ZernikePhase_OP_6_6,Mean,
RadialDistribution_ZernikePhase_OP_7_1,Sum,
RadialDistribution_ZernikePhase_OP_7_3,Mean,
RadialDistribution_ZernikePhase_OP_7_5,Sum,
RadialDistribution_ZernikePhase_OP_7_7,Mean,
RadialDistribution_ZernikePhase_OP_8_0,Sum,
RadialDistribution_ZernikePhase_OP_8_2,Mean,
RadialDistribution_ZernikePhase_OP_8_4,Sum,
RadialDistribution_ZernikePhase_OP_8_6,Mean,
RadialDistribution_ZernikePhase_OP_8_8,Sum,
RadialDistribution_ZernikePhase_OP_9_1,Mean,
RadialDistribution_ZernikePhase_OP_9_3,Sum,
RadialDistribution_ZernikePhase_OP_9_5,Mean,
RadialDistribution_ZernikePhase_OP_9_7,Sum,
RadialDistribution_ZernikePhase_OP_9_9,Mean,
Texture_AngularSecondMoment_OP_3_00_256,Sum,
Texture_AngularSecondMoment_OP_3_01_256,Mean,
Texture_AngularSecondMoment_OP_3_02_256,Sum,
Texture_AngularSecondMoment_OP_3_03_256,Mean,
Texture_Contrast_OP_3_00_256,Sum,
Texture_Contrast_OP_3_01_256,Mean,
Texture_Contrast_OP_3_02_256,Sum,
Texture_Contrast_OP_3_03_256,Mean,
Texture_Correlation_OP_3_00_256,Sum,
Texture_Correlation_OP_3_01_256,Mean,
Texture_Correlation_OP_3_02_256,Sum,
Texture_Correlation_OP_3_03_256,Mean,
Texture_DifferenceEntropy_OP_3_00_256,Sum,
Texture_DifferenceEntropy_OP_3_01_256,Mean,
Texture_DifferenceEntropy_OP_3_02_256,Sum,
Texture_DifferenceEntropy_OP_3_03_256,Mean,
Texture_DifferenceVariance_OP_3_00_256,Sum,
Texture_DifferenceVariance_OP_3_01_256,Mean,
Texture_DifferenceVariance_OP_3_02_256,Sum,
Texture_DifferenceVariance_OP_3_03_256,Mean,
Texture_Entropy_OP_3_00_256,Sum,
Texture_Entropy_OP_3_01_256,Mean,
Texture_Entropy_OP_3_02_256,Sum,
Texture_Entropy_OP_3_03_256,Mean,
Texture_InfoMeas1_OP_3_00_256,Sum,
Texture_InfoMeas1_OP_3_01_256,Mean,
Texture_InfoMeas1_OP_3_02_256,Sum,
Texture_InfoMeas1_OP_3_03_256,Mean,
Texture_InfoMeas2_OP_3_00_256,Sum,
Texture_InfoMeas2_OP_3_01_256,Mean,
Texture_InfoMeas2_OP_3_02_256,Sum,
Texture_InfoMeas2_OP_3_03_256,Mean,
Texture_InverseDifferenceMomnt_OP_3_00_256,Sum,
Texture_InverseDifferenceMomnt_OP_3_01_256,Mean,
Texture_InverseDifferenceMomnt_OP_3_02_256,Sum,
Texture_InverseDifferenceMomnt_OP_3_03_256,Mean,
Texture_SumAverage_OP_3_00_256,Sum,
Texture_SumAverage_OP_3_01_256,Mean,
Texture_SumAverage_OP_3_02_256,Sum,
Texture_SumAverage_OP_3_03_256,Mean,
Texture_SumEntropy_OP_3_00_256,Sum,
Texture_SumEntropy_OP_3_01_256,Mean,
Texture_SumEntropy_OP_3_02_256,Sum,
Texture_SumEntropy_OP_3_03_256,Mean,
Texture_SumVariance_OP_3_00_256,Sum,
Texture_SumVariance_OP_3_01_256,Mean,
Texture_SumVariance_OP_3_02_256,Sum,
Texture_SumVariance_OP_3_03_256,Mean,
Texture_Variance_OP_3_00_256,Sum,
Texture_Variance_OP_3_01_256,Mean,
Texture_Variance_OP_3_02_256,Sum,
Texture_Variance_OP_3_03_256,Mean,
